SalePrice,1stFlrSF,2ndFlrSF,MSSubClass,LotArea,OverallCond,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd
208500,856,854,60,8450,5,1710,2,3,1,8
181500,1262,0,20,9600,8,1262,2,3,1,6
223500,920,866,60,11250,5,1786,2,3,1,6
140000,961,756,70,9550,5,1717,1,3,1,7
250000,1145,1053,60,14260,5,2198,2,4,1,9
143000,796,566,50,14115,5,1362,1,1,1,5
307000,1694,0,20,10084,5,1694,2,3,1,7
200000,1107,983,60,10382,6,2090,2,3,1,7
129900,1022,752,50,6120,5,1774,2,2,2,8
118000,1077,0,190,7420,6,1077,1,2,2,5
129500,1040,0,20,11200,5,1040,1,3,1,5
345000,1182,1142,60,11924,5,2324,3,4,1,11
144000,912,0,20,12968,6,912,1,2,1,4
279500,1494,0,20,10652,5,1494,2,3,1,7
157000,1253,0,20,10920,5,1253,1,2,1,5
132000,854,0,45,6120,8,854,1,2,1,5
149000,1004,0,20,11241,7,1004,1,2,1,5
90000,1296,0,90,10791,5,1296,2,2,2,6
159000,1114,0,20,13695,5,1114,1,3,1,6
139000,1339,0,20,7560,6,1339,1,3,1,6
325300,1158,1218,60,14215,5,2376,3,4,1,9
139400,1108,0,45,7449,7,1108,1,3,1,6
230000,1795,0,20,9742,5,1795,2,3,1,7
129900,1060,0,120,4224,7,1060,1,3,1,6
154000,1060,0,20,8246,8,1060,1,3,1,6
256300,1600,0,20,14230,5,1600,2,3,1,7
134800,900,0,20,7200,7,900,1,3,1,5
306000,1704,0,20,11478,5,1704,2,3,1,7
207500,1600,0,20,16321,6,1600,1,2,1,6
68500,520,0,30,6324,6,520,1,1,1,4
40000,649,668,70,8500,4,1317,1,3,1,6
149350,1228,0,20,8544,6,1228,1,3,1,6
179900,1234,0,20,11049,5,1234,2,3,1,7
165500,1700,0,20,10552,5,1700,1,4,1,6
277500,1561,0,120,7313,5,1561,2,2,1,6
309000,1132,1320,60,13418,5,2452,3,4,1,9
145000,1097,0,20,10859,5,1097,1,3,1,6
153000,1297,0,20,8532,6,1297,1,3,1,5
109000,1057,0,20,7922,7,1057,1,3,1,5
82000,1152,0,90,6040,5,1152,2,2,2,6
160000,1324,0,20,8658,5,1324,2,3,1,6
170000,1328,0,20,16905,6,1328,1,2,1,5
144000,884,0,85,9180,7,884,1,2,1,5
130250,938,0,20,9200,6,938,1,3,1,5
141000,1150,0,20,7945,6,1150,1,3,1,6
319900,1752,0,120,7658,5,1752,2,2,1,6
239686,1518,631,50,12822,5,2149,1,1,1,6
249700,1656,0,20,11096,5,1656,2,3,1,7
113000,736,716,190,4456,5,1452,2,2,3,8
127000,955,0,20,7742,7,955,1,3,1,6
177000,794,676,60,13869,6,1470,2,3,1,6
114500,816,0,50,6240,6,1176,1,3,1,6
110000,816,0,90,8472,5,816,1,2,1,5
385000,1842,0,20,50271,5,1842,0,0,1,5
130000,1360,0,80,7134,5,1360,1,3,1,6
180500,1425,0,20,10175,5,1425,2,3,1,7
172500,983,756,160,2645,5,1739,2,3,1,7
196500,860,860,60,11645,5,1720,2,3,1,7
438780,1426,1519,60,13682,5,2945,3,3,1,10
124900,780,0,20,7200,7,780,1,2,1,4
158000,1158,0,20,13072,5,1158,1,3,1,5
101000,581,530,75,7200,7,1111,1,3,1,6
202500,1370,0,120,6442,5,1370,2,2,1,6
140000,902,808,70,10300,6,1710,2,3,1,9
219500,1057,977,60,9375,5,2034,2,3,1,8
317000,1143,1330,60,9591,5,2473,2,4,1,9
180000,2207,0,20,19900,5,2207,2,3,1,7
226000,1479,0,20,10665,5,1479,2,3,1,7
80000,747,0,30,4608,6,747,1,2,1,4
225000,1304,983,50,15593,4,2287,2,3,1,7
244000,2223,0,20,13651,6,2223,2,3,1,8
129500,845,0,20,7599,6,845,1,2,1,4
185000,885,833,60,10141,5,1718,2,3,1,7
144900,1086,0,20,10200,7,1086,1,3,1,6
107400,840,765,50,5790,6,1605,2,3,2,8
91000,526,462,180,1596,5,988,1,2,1,5
135750,952,0,20,8475,7,952,1,2,1,4
127000,1072,213,50,8635,5,1285,1,2,1,6
136500,1768,0,90,10778,5,1768,2,4,2,8
110000,682,548,50,10440,6,1230,1,2,1,5
193500,1182,960,60,13000,6,2142,2,4,1,8
153500,1337,0,120,4500,5,1337,2,2,1,5
245000,1563,0,20,10206,5,1563,2,3,1,6
126500,1065,0,20,8892,5,1065,1,3,1,6
168500,804,670,80,8530,5,1474,2,3,1,7
260000,1301,1116,60,16059,5,2417,2,4,1,9
174000,684,876,60,11911,5,1560,2,3,1,6
164500,612,612,160,3951,5,1224,2,2,1,4
85000,1013,0,50,8470,2,1526,1,2,1,6
123600,990,0,20,8070,5,990,1,3,1,5
109900,1040,0,20,7200,5,1040,1,2,1,4
98600,1235,0,20,8500,3,1235,1,2,1,6
163500,964,0,30,13360,7,964,1,2,1,5
133900,1260,1031,190,7200,6,2291,2,4,2,9
204750,905,881,60,9337,5,1786,2,3,1,7
185000,680,790,60,9765,8,1470,2,3,1,6
214000,1588,0,20,10264,5,1588,2,3,1,6
94750,960,0,20,10921,5,960,1,3,1,6
83000,835,0,30,10625,5,835,1,2,1,5
128950,1225,0,20,9320,5,1225,1,3,1,6
205000,1610,0,20,10603,7,1610,2,3,1,6
178000,977,755,60,9206,5,1732,2,3,1,7
118964,1535,0,90,7018,5,1535,2,4,2,8
198900,1226,0,20,10402,5,1226,2,3,1,6
169500,1226,592,50,7758,4,1818,1,4,1,7
250000,1053,939,60,9375,5,1992,2,3,1,9
100000,1047,0,30,10800,7,1047,1,2,1,6
115000,789,0,20,6000,5,789,1,2,1,5
115000,997,520,50,8500,7,1517,2,3,1,7
190000,1844,0,20,11751,6,1844,2,3,1,7
136900,1216,639,50,9525,4,1855,2,4,1,7
180000,774,656,80,7750,5,1430,2,3,1,7
383970,1282,1414,60,9965,5,2696,2,4,1,10
217000,2259,0,20,21000,5,2259,2,3,1,7
259500,1436,884,70,7259,8,2320,2,3,1,9
176000,729,729,160,3230,5,1458,2,2,1,5
139000,1092,0,20,11616,5,1092,1,3,1,6
155000,1125,0,20,8536,5,1125,1,2,1,5
320000,1699,1523,60,12376,5,3222,3,5,1,11
163990,728,728,60,8461,5,1456,2,3,1,8
180000,988,0,80,21453,5,988,1,1,1,4
100000,772,351,50,6060,5,1123,1,3,1,4
136000,1080,0,20,9464,7,1080,1,3,1,5
153900,1199,0,120,7892,5,1199,2,2,1,5
181000,1586,0,20,17043,5,1586,2,3,1,7
84500,520,0,190,6780,8,754,1,2,1,5
128000,958,0,120,4928,5,958,2,2,1,5
87000,840,0,45,4388,7,840,1,3,1,5
155000,660,688,60,7590,5,1348,1,3,1,6
150000,1053,0,20,8973,7,1053,1,3,1,6
226000,1216,941,60,14200,6,2157,2,4,1,8
244000,1022,1032,60,12224,5,2054,2,3,1,7
150750,1327,0,20,7388,6,1327,1,3,1,7
220000,1296,0,20,6853,5,1296,2,2,1,6
180000,1721,0,20,10335,6,1721,2,3,1,7
174000,1682,0,20,10400,6,1682,2,3,1,7
143000,1214,0,20,10355,5,1214,2,3,1,5
171000,1959,0,90,11070,5,1959,3,5,2,9
230000,1004,848,60,9066,5,1852,2,3,1,7
231500,928,836,60,15426,5,1764,2,3,1,7
115000,864,0,20,10500,5,864,1,3,1,5
260000,1734,0,20,11645,5,1734,2,3,1,7
166000,910,475,50,8520,4,1385,2,4,1,6
204000,1501,0,20,10335,5,1501,2,3,1,6
125000,1728,0,90,9100,5,1728,2,6,2,10
130000,970,739,160,2522,5,1709,2,3,1,7
105000,875,0,30,6120,7,875,1,2,1,5
222500,884,1151,60,9505,5,2035,2,3,1,8
141000,1080,0,20,7500,5,1080,1,3,1,6
115000,896,448,50,6240,4,1344,1,3,1,7
122000,969,0,20,10356,6,969,1,3,1,5
372402,1710,0,20,13891,5,1710,2,2,1,6
190000,1097,896,60,14803,5,1993,2,4,1,8
235000,1252,0,20,13500,7,1252,1,1,1,4
125000,1200,0,30,11340,5,1200,1,4,1,7
79000,572,524,50,9600,5,1096,1,2,1,5
109500,1040,0,20,7200,7,1040,1,2,1,5
269500,774,1194,60,12003,5,1968,2,4,1,8
254900,991,956,60,12552,5,1947,2,3,1,8
320000,1392,1070,60,19378,5,2462,2,4,1,9
162500,1232,0,20,11120,6,1232,2,3,1,6
412500,1572,1096,60,13688,5,2668,2,3,1,10
220000,1541,0,20,12182,5,1541,2,3,1,7
103200,882,0,45,5500,6,882,1,1,1,4
152000,1149,467,40,5400,7,1616,2,3,1,5
127500,808,547,190,10106,7,1355,2,4,2,6
190000,1867,0,20,10708,5,1867,1,2,1,7
325624,1610,551,60,10562,5,2161,1,3,1,8
183500,840,880,60,8244,5,1720,2,3,1,7
228000,1707,0,20,16669,6,1707,2,2,1,6
128500,854,0,50,12358,6,1382,1,2,1,7
215000,1656,0,20,31770,5,1656,1,3,1,7
239000,1064,703,160,5306,7,1767,2,2,1,5
163000,1362,0,20,10197,5,1362,1,3,1,6
184000,1651,0,20,12416,5,1651,2,3,1,7
243000,2158,0,20,12615,7,2158,2,4,1,7
211000,1164,896,60,10029,5,2060,2,4,1,8
172500,1252,668,50,13650,5,1920,2,4,1,8
501837,2234,0,20,17423,5,2234,2,1,1,9
100000,968,0,30,8520,6,968,1,2,1,5
177000,769,756,160,2117,5,1525,2,3,1,5
200100,901,901,70,7588,6,1802,1,4,1,9
120000,1340,0,20,9060,6,1340,1,3,1,7
200000,1362,720,50,11426,5,2082,2,3,1,6
127000,936,316,50,7438,8,1252,1,3,1,5
475000,1518,1518,75,22950,9,3608,2,4,1,12
173000,1217,0,80,9947,5,1217,2,3,1,6
135000,808,704,50,10410,7,1656,2,3,1,8
153337,1224,0,90,7018,5,1224,0,2,2,6
286000,1593,0,120,4923,5,1593,1,0,1,5
315000,1549,1178,70,10570,8,2727,2,3,1,10
184000,725,754,60,7472,9,1479,1,4,1,7
192000,1431,0,20,9017,5,1431,2,3,1,6
130000,970,739,160,2522,5,1709,2,3,1,7
127000,864,0,20,7180,7,864,1,3,1,5
148500,855,601,160,2280,6,1456,2,3,1,7
311872,1726,0,20,9416,5,1726,2,3,1,8
235000,1360,1360,75,25419,4,3112,2,4,1,8
104000,929,929,75,5520,6,2229,1,5,1,8
274900,1713,0,20,9591,5,1713,2,3,1,7
140000,1121,0,20,8546,5,1121,2,2,1,5
171500,1279,0,20,10125,6,1279,2,3,1,6
112000,865,445,50,7000,6,1310,2,2,1,6
149000,848,0,120,4438,5,848,1,1,1,3
110000,720,564,50,3500,7,1284,1,2,1,5
180500,1442,0,20,11851,5,1442,2,3,1,5
143900,1696,0,20,13673,5,1696,1,3,1,8
141000,1100,0,20,12493,5,1100,1,3,1,6
277000,1180,882,60,14364,5,2062,2,3,1,7
145000,1092,0,20,8250,7,1092,1,3,1,6
98000,864,0,30,5604,6,864,1,2,1,5
186000,1212,0,20,10420,5,1212,2,3,1,6
252678,932,920,60,8640,5,1852,2,3,1,7
156000,990,0,20,13568,5,990,1,3,1,5
161750,689,703,60,10900,7,1392,1,3,1,6
134450,1236,0,20,10011,6,1236,1,2,1,6
210000,1436,0,20,8450,5,1436,2,3,1,8
107000,810,518,70,9906,4,1328,1,3,1,8
311500,1137,817,50,15660,9,1954,1,3,1,8
167240,1248,0,120,3010,5,1248,2,2,1,5
204900,1498,0,20,8990,5,1498,2,2,1,5
200000,1010,1257,60,8068,5,2267,2,4,1,8
179900,811,741,60,11475,6,1552,2,3,1,6
97000,864,0,20,10500,6,864,1,2,1,4
386250,2392,0,20,13472,5,2392,2,3,1,8
112000,630,672,160,1680,5,1302,2,3,1,6
290000,1214,1306,60,9950,5,2520,2,4,1,9
106000,483,504,160,1869,6,987,1,2,1,5
125000,912,0,20,8521,5,912,1,3,1,5
192500,1555,0,120,3182,5,1555,2,2,1,7
148000,1194,0,20,8760,6,1194,1,3,1,6
403000,1490,1304,60,15138,5,2794,2,4,1,9
94500,483,504,160,1680,5,987,1,2,1,5
128200,894,0,20,10650,6,894,1,3,1,5
216500,860,1100,60,7851,5,1960,2,4,1,8
89500,483,504,160,1680,3,987,1,2,1,5
185500,1414,0,20,8773,5,1414,2,3,1,6
194500,1014,730,60,9453,7,1744,2,3,1,7
318000,1694,0,20,12030,5,1694,2,3,1,7
113000,798,689,50,8741,4,1487,1,3,1,7
262500,1566,0,20,9000,5,1566,2,3,1,7
110500,866,0,30,3880,9,866,1,2,1,4
79000,889,551,50,5000,4,1440,1,3,1,6
120000,626,591,160,10762,6,1217,1,3,1,6
205000,1222,888,60,8880,5,2110,2,3,1,8
241500,1872,0,20,10400,5,1872,2,3,1,6
137000,908,1020,190,9142,8,1928,2,4,2,9
140000,1375,0,20,11310,5,1375,1,2,1,5
180000,840,828,60,11317,5,1668,2,3,1,8
277000,1444,700,50,159000,7,2144,2,4,1,7
76500,1306,0,30,5350,2,1306,1,3,1,6
235000,1625,0,120,4750,5,1625,2,2,1,5
173000,798,842,60,8366,5,1640,2,3,1,6
158000,1302,0,80,9350,7,1302,2,3,1,7
145000,1314,0,20,8400,6,1314,1,3,1,5
230000,1005,1286,60,8738,5,2291,2,4,1,8
207500,864,864,60,8791,5,1728,2,3,1,7
220000,1604,0,20,8814,5,1604,2,3,1,8
231500,963,829,60,12435,5,1792,2,3,1,7
97000,882,0,20,12702,5,882,1,2,1,4
176000,1382,0,80,19296,5,1382,1,3,1,6
276000,1482,1092,60,9588,5,2574,2,3,1,10
151000,1212,0,80,8471,7,1212,1,3,1,6
130000,926,0,50,5500,7,1316,1,3,1,6
73000,764,0,30,5232,5,764,1,2,1,4
175500,1422,0,20,12090,6,1422,2,3,1,7
185000,802,709,60,11207,5,1511,2,3,1,8
179500,1052,720,75,8400,8,2192,2,4,1,8
120500,778,0,30,6900,6,778,1,2,1,4
148000,1113,0,20,7917,7,1113,1,3,1,6
266000,1095,844,60,10728,5,1939,2,3,1,8
241500,1363,0,20,39104,7,1363,1,2,1,5
290000,1164,1106,60,11764,7,2270,2,4,1,9
139000,1632,0,20,9600,6,1632,2,3,1,6
124500,816,0,20,8314,7,816,1,2,1,5
205000,952,596,50,7264,7,1548,2,3,1,5
201000,1560,0,20,9196,5,1560,2,3,1,7
141000,864,0,20,19138,5,864,1,2,1,4
415298,2121,0,20,14450,5,2121,2,3,1,8
192000,1156,866,60,10005,5,2022,2,4,1,8
228500,1175,807,60,11287,6,1982,2,3,1,7
185000,1262,0,20,7200,5,1262,2,2,1,5
207500,1314,0,120,5063,5,1314,2,2,1,6
244600,1468,0,20,9612,5,1468,2,3,1,6
179200,1575,0,120,8012,5,1575,2,2,1,5
164700,625,625,160,4251,5,1250,2,2,1,5
159000,1085,649,50,9786,7,1734,1,3,1,7
88000,858,0,20,8125,4,858,1,3,1,5
122000,900,0,20,9819,5,900,1,3,1,5
153575,698,698,70,8730,7,1396,1,3,1,7
233230,1079,840,60,15611,5,1919,2,3,1,8
135900,936,780,190,5687,6,1716,2,6,1,9
131000,1148,568,50,11409,4,1716,1,3,1,8
235000,1468,795,60,16659,7,2263,2,3,1,9
167000,1644,0,20,9600,5,1644,1,3,1,7
142500,1003,0,80,7937,6,1003,1,3,1,6
152000,910,648,50,13710,5,1558,1,4,1,6
239000,975,975,60,7399,5,1950,2,3,1,7
175000,1041,702,60,11700,6,1743,1,3,1,7
158500,1152,0,20,14000,8,1152,1,3,1,6
157000,1336,0,190,15750,5,1336,1,2,1,5
267000,1210,1242,60,16226,5,2452,2,4,1,9
205000,1541,0,20,13704,5,1541,2,3,1,6
149900,894,0,20,9800,7,894,1,3,1,5
295000,1675,1818,75,18386,9,3493,3,3,1,10
305900,2000,0,20,10386,5,2000,2,3,1,8
225000,1122,1121,60,13474,5,2243,2,4,1,8
89500,1035,371,50,7920,7,1406,1,3,1,6
82500,861,0,30,12342,5,861,1,1,1,4
360000,1944,0,20,12378,5,1944,2,3,1,8
165600,697,804,60,7685,5,1501,2,3,1,6
132000,972,0,20,8000,6,972,1,2,1,5
119900,793,325,190,7800,7,1118,1,3,1,5
375000,2036,0,20,215245,5,2036,2,3,1,8
178000,832,809,70,9600,7,1641,1,3,1,6
188500,716,716,60,7795,5,1432,2,3,1,6
260000,1153,1200,60,13005,7,2353,2,4,1,10
270000,1088,871,60,9000,5,1959,2,3,1,8
260000,1372,1274,60,9900,5,2646,2,4,1,9
187500,1472,0,80,14115,5,1472,2,3,1,6
342643,1249,1347,60,16259,5,2596,3,4,1,9
354000,1136,1332,60,12099,5,2468,2,4,1,10
301000,1553,1177,60,10380,5,2730,2,4,1,8
126175,1163,0,20,5820,8,1163,1,3,1,6
242000,1898,1080,80,11275,7,2978,2,5,1,11
87000,803,0,45,5000,6,803,1,2,1,5
324000,1719,0,120,10846,5,1719,1,1,1,6
145250,1383,0,20,11600,5,1383,1,3,1,7
214500,1445,689,75,11888,6,2134,2,5,1,10
78000,596,596,70,6402,5,1192,1,3,1,6
119000,1728,0,90,10624,4,1728,2,6,2,10
139000,1056,0,20,8176,6,1056,1,3,1,6
284000,1629,0,20,10655,5,1629,2,3,1,7
207000,1358,0,120,8198,5,1358,2,2,1,6
192000,943,695,60,9042,5,1638,2,3,1,7
228950,1619,167,190,164660,6,1786,2,3,1,7
377426,1922,0,20,14157,5,1922,2,3,1,8
214000,1536,0,20,9135,5,1536,2,3,1,7
202500,1621,0,20,14145,7,1621,2,3,1,8
155000,1215,0,20,12400,7,1215,1,3,1,6
202900,993,915,60,14191,5,1908,2,4,1,9
82000,841,0,20,8400,4,841,1,2,1,4
87500,1040,0,90,8544,4,1040,2,2,2,6
266000,1684,0,120,8849,5,1684,2,2,1,6
85000,536,576,160,2592,3,1112,1,3,1,4
140200,972,605,50,6435,5,1577,1,3,1,6
151500,958,0,20,12772,8,958,1,2,1,5
157500,1478,0,20,17600,5,1478,2,3,1,6
154000,764,862,160,2448,5,1626,2,2,1,6
437154,1848,880,60,20431,5,2728,2,4,1,10
318061,1869,0,120,7820,5,1869,2,2,1,6
190000,1453,0,120,5271,5,1453,1,2,1,6
95000,616,495,50,9084,6,1111,1,3,1,5
105900,720,0,30,8520,8,720,1,2,1,5
140000,1192,403,50,8400,5,1595,1,2,1,6
177500,1200,0,20,11249,5,1200,2,3,1,6
173000,1167,0,20,9248,6,1167,2,3,1,6
134000,1142,0,120,4224,5,1142,1,3,1,6
130000,1352,0,80,6930,4,1352,1,3,1,6
280000,1086,838,60,12011,5,1924,2,3,1,7
156000,912,0,85,7540,6,912,1,2,1,5
145000,988,517,50,9144,5,1505,1,3,1,8
198500,495,1427,85,7301,5,1922,3,4,1,7
118000,483,504,160,1680,8,987,1,2,1,5
190000,790,784,60,18800,5,1574,2,3,1,6
147000,672,672,70,10690,7,1344,1,3,1,6
159000,1394,0,20,9500,5,1394,1,3,1,6
165000,1431,0,80,9150,5,1431,1,3,1,6
132000,1268,0,20,7800,6,1268,1,2,1,7
162000,1287,0,20,9830,7,1287,1,3,1,7
172400,953,711,60,8121,5,1664,2,3,1,7
134432,1120,468,50,17120,4,1588,2,4,1,7
125000,752,0,120,7175,5,752,1,2,1,4
123000,1319,0,20,10634,6,1319,1,3,1,5
219500,847,1081,60,8200,5,1928,2,4,1,8
61000,904,0,30,10020,1,904,0,1,1,4
148000,914,0,85,8846,5,914,1,2,1,5
340000,1580,886,60,11143,5,2466,3,4,1,8
394432,1856,0,20,11394,2,1856,1,1,1,8
179000,1007,793,60,8123,5,1800,2,3,1,7
127000,1026,665,50,5000,6,1691,2,3,1,6
187750,1301,0,20,7200,5,1301,2,2,1,5
213500,939,858,60,9245,5,1797,2,3,1,8
76000,784,0,45,9000,3,784,1,2,1,5
240000,1079,874,60,53107,5,1953,2,3,1,9
192000,1269,0,120,3182,5,1269,2,2,1,6
81000,658,526,50,8410,3,1184,1,5,1,8
125000,1125,0,80,7200,6,1125,1,3,1,6
191000,1479,0,20,9382,5,1479,2,3,1,6
426000,1742,590,60,12474,5,2332,2,3,1,9
119000,961,406,50,8405,8,1367,1,4,1,7
215000,804,1157,60,12209,5,1961,2,3,1,7
106500,882,0,20,8339,7,882,1,3,1,5
100000,788,0,30,7446,5,788,1,2,1,4
109000,735,299,50,10134,6,1034,1,2,1,5
129000,1144,0,20,9571,6,1144,1,3,1,6
123000,894,0,20,7200,5,894,1,2,1,6
169500,876,936,60,7590,5,1812,2,4,1,8
67000,1077,0,30,8967,2,1077,1,2,1,6
241000,1112,438,60,8125,5,1550,2,2,1,7
245500,1288,0,120,14963,5,1288,1,1,1,4
164990,1310,0,20,8767,5,1310,2,3,1,6
108000,672,0,30,10200,8,672,1,2,1,4
258000,1165,1098,60,12090,5,2263,2,4,1,10
168000,806,766,60,10364,5,1572,2,3,1,7
150000,1620,0,20,9991,4,1620,2,3,1,8
115000,1166,0,50,10480,5,1639,1,3,1,6
177000,840,840,70,15576,7,1680,2,4,1,8
280000,1071,1101,60,14154,5,2172,2,3,1,9
339750,1050,1028,60,10800,5,2078,2,3,1,8
60000,1276,0,20,9571,3,1276,1,3,1,5
145000,1056,0,190,34650,5,1056,1,3,1,5
222000,1478,0,20,4403,5,1478,2,2,1,7
115000,1028,0,30,8960,6,1028,1,2,1,5
228000,1080,1017,60,11228,5,2097,2,3,1,9
181134,1340,0,20,8899,5,1340,2,3,1,6
149500,672,728,60,7844,7,1400,1,3,1,6
239000,1370,1254,70,22420,6,2624,2,4,1,10
126000,756,378,50,8160,6,1134,1,3,1,7
142000,1056,0,20,8450,6,1056,1,3,1,6
206300,1344,0,90,7060,5,1344,2,2,2,8
215000,1602,0,20,16635,7,1602,2,3,1,8
113000,988,0,20,21750,5,988,1,2,1,4
315000,1470,1160,60,9200,5,2630,2,4,1,8
139000,1196,0,20,9000,5,1196,1,2,1,6
135000,707,682,60,3378,8,1389,1,3,1,6
275000,1644,0,80,12800,5,1644,2,2,1,5
109008,907,0,20,8593,6,907,1,3,1,5
195400,1208,0,20,6762,5,1208,2,2,1,6
175000,1412,0,20,11457,5,1412,2,3,1,6
85400,483,504,160,1680,5,987,1,2,1,4
79900,1088,110,50,5586,7,1198,1,4,1,7
122500,765,600,160,1920,5,1365,1,2,1,6
181000,926,678,60,10839,5,1604,2,3,1,7
81000,630,0,180,1890,7,630,1,1,1,3
212000,827,834,60,10667,6,1661,2,3,1,6
116000,734,384,50,4400,8,1118,1,2,1,6
119000,904,0,45,6000,7,904,1,2,1,4
90350,694,0,30,4280,6,694,1,2,1,4
110000,684,512,50,12354,8,1196,1,3,1,7
555000,2402,0,20,15431,5,2402,2,2,1,10
118000,1440,0,90,12108,4,1440,2,4,2,8
162900,1128,445,50,6240,7,1573,2,3,1,8
172500,1258,0,120,3922,5,1258,2,2,1,6
210000,933,975,60,8750,5,1908,2,4,1,8
127500,1689,0,20,9855,5,1689,1,3,1,7
190000,1888,0,20,16492,6,1888,2,2,1,6
199900,956,930,60,11214,5,1886,2,4,1,10
119500,780,596,50,8600,6,1376,2,3,1,7
120000,679,504,50,6000,7,1183,1,2,1,6
110000,813,0,30,5684,8,813,1,2,1,5
280000,1533,0,20,70761,5,1533,2,2,1,5
204000,888,868,60,9303,5,1756,2,3,1,7
210000,786,804,60,9000,5,1590,2,3,1,6
188000,1728,0,90,9297,5,1728,2,4,2,8
175500,1242,0,20,9600,6,1242,1,3,1,6
98000,624,720,70,4571,5,1344,1,4,1,7
256000,1663,0,20,53227,6,1663,1,2,1,6
161000,833,833,70,5100,7,1666,1,3,1,7
110000,979,224,50,7015,4,1203,1,3,1,5
263435,832,1103,60,8004,5,1935,2,3,1,8
155000,575,560,70,7200,9,1135,1,3,1,6
62383,864,0,20,8281,5,864,1,3,1,5
188700,849,811,70,11988,7,1660,1,3,1,6
124000,1040,0,20,8430,5,1040,2,3,1,5
178740,1414,0,120,3072,5,1414,2,2,1,6
167000,1277,0,20,10628,5,1277,1,2,1,5
146500,888,756,70,9480,7,1644,1,3,1,7
250000,1634,0,20,11428,5,1634,2,3,1,7
187000,832,878,60,9291,5,1710,2,3,1,7
212000,1502,0,120,6820,5,1502,1,1,1,4
190000,1161,808,60,11952,6,1969,2,3,1,8
148000,1072,0,180,3675,5,1072,1,2,1,5
440000,1976,0,20,14977,5,1976,2,2,1,7
251000,1652,0,120,5330,5,1652,2,2,1,6
132500,970,0,20,8480,6,970,1,2,1,5
208900,1493,0,20,13125,5,1493,2,3,1,7
380000,2069,574,60,13693,5,2643,2,3,1,9
297000,1718,0,20,10637,5,1718,2,3,1,7
89471,1131,0,30,5925,7,1131,1,2,1,7
326000,1850,0,20,16033,5,1850,2,3,1,8
374000,1792,0,20,11846,5,1792,2,2,1,6
155000,916,910,70,2500,8,1826,1,4,1,7
164000,1216,0,120,4500,5,1216,2,2,1,5
